# Ankaufspreise des Sammlers, wert = Coins je Stueck (Verkaufsfass und Lieferrampe, Rampe zahlt 80 Prozent).
# Massstab: Kaufpreise im Laden (Eisen 50, Gold 100, Diamant 1000, Obsidian 500) und Seltenheit am Quell.
# Verarbeitung lohnt sich: Erz < Rohstoff < Barren < Block (Kupfererz 4, Kupferbarren 5, Kupferblock 50).
# REGEL (Luis 10.09.2026): Alles, was der Laden verkauft, kauft der Sammler zur HAELFTE des Kaufpreises zurueck
# AUSNAHME (Luis 10.09.2026): nachwachsende Ware nicht. Obsidian ist mit Lava aus dem Nether umsonst
# herstellbar, deshalb Ankauf 20 statt 250. Kaufpreis bleibt 500, es ist der einzige Block, den die
# Gegner nicht durchgraben. Crying Obsidian und Zaubertisch mit, sonst wandert die Schleife nur weiter.
# (aufgerundet), ohne Ausnahme. Diese Zeilen pflegt build-seitig niemand von Hand: bei Preisaenderung im Laden
# hier den Wert nachziehen (python3 preise_ableiten.py danach). Was der Laden nicht verkauft, hat hier einen festen Wert.
item,name,wert
dragon_breath,Dragon's Breath,200
flint,Flint,2
water_bucket,Water Bucket,250
lava_bucket,Lava Bucket,250
milk_bucket,Milk Bucket,70
powder_snow_bucket,Powder Snow Bucket,70
axolotl_bucket,Bucket of Axolotl,80
cod_bucket,Bucket of Cod,80
salmon_bucket,Bucket of Salmon,80
pufferfish_bucket,Bucket of Pufferfish,80
tropical_fish_bucket,Bucket of Tropical Fish,80
tadpole_bucket,Bucket of Tadpole,80
brown_mushroom,Brown Mushroom,2
red_mushroom,Red Mushroom,2
grass_block,Grass Block,2
podzol,Podzol,2
mycelium,Mycelium,3
rooted_dirt,Rooted Dirt,1
red_sand,Red Sand,3
sandstone,Sandstone,4
red_sandstone,Red Sandstone,4
terracotta,Terracotta,5
packed_mud,Packed Mud,2
white_wool,White Wool,4
bone_block,Bone Block,10
cobweb,Cobweb,10
bee_nest,Bee Nest,30
wither_rose,Wither Rose,15
cooked_rabbit,Cooked Rabbit,20
cooked_cod,Cooked Cod,15
cooked_salmon,Cooked Salmon,15
wooden_sword,Wooden Sword,10
wooden_pickaxe,Wooden Pickaxe,13
wooden_axe,Wooden Axe,13
wooden_shovel,Wooden Shovel,8
leather_helmet,Leather Helmet,33
leather_chestplate,Leather Chestplate,53
leather_leggings,Leather Leggings,46
leather_boots,Leather Boots,26
stone_sword,Stone Sword,15
stone_pickaxe,Stone Pickaxe,15
stone_axe,Stone Axe,15
stone_shovel,Stone Shovel,10
chainmail_helmet,Chainmail Helmet,100
chainmail_chestplate,Chainmail Chestplate,160
chainmail_leggings,Chainmail Leggings,140
chainmail_boots,Chainmail Boots,80
iron_sword,Iron Sword,55
iron_pickaxe,Iron Pickaxe,83
iron_axe,Iron Axe,83
iron_shovel,Iron Shovel,28
iron_helmet,Iron Helmet,138
iron_chestplate,Iron Chestplate,220
iron_leggings,Iron Leggings,193
iron_boots,Iron Boots,110
diamond_sword,Diamond Sword,550
diamond_pickaxe,Diamond Pickaxe,825
diamond_axe,Diamond Axe,825
diamond_shovel,Diamond Shovel,275
diamond_helmet,Diamond Helmet,1375
diamond_chestplate,Diamond Chestplate,2200
diamond_leggings,Diamond Leggings,1925
diamond_boots,Diamond Boots,1100
netherite_sword,Netherite Sword,1375
netherite_pickaxe,Netherite Pickaxe,1500
netherite_axe,Netherite Axe,1500
netherite_shovel,Netherite Shovel,1125
netherite_helmet,Netherite Helmet,1750
netherite_chestplate,Netherite Chestplate,2250
netherite_leggings,Netherite Leggings,2000
netherite_boots,Netherite Boots,1625
netherite_ingot,Netherite Ingot,1500
netherite_upgrade_smithing_template,Netherite Upgrade Template,750
bolt_armor_trim_smithing_template,Bolt Armor Trim,1250
coast_armor_trim_smithing_template,Coast Armor Trim,500
dune_armor_trim_smithing_template,Dune Armor Trim,500
eye_armor_trim_smithing_template,Eye Armor Trim,500
flow_armor_trim_smithing_template,Flow Armor Trim,1250
host_armor_trim_smithing_template,Host Armor Trim,500
raiser_armor_trim_smithing_template,Raiser Armor Trim,500
rib_armor_trim_smithing_template,Rib Armor Trim,500
sentry_armor_trim_smithing_template,Sentry Armor Trim,500
shaper_armor_trim_smithing_template,Shaper Armor Trim,500
silence_armor_trim_smithing_template,Silence Armor Trim,1250
snout_armor_trim_smithing_template,Snout Armor Trim,500
spire_armor_trim_smithing_template,Spire Armor Trim,500
tide_armor_trim_smithing_template,Tide Armor Trim,500
vex_armor_trim_smithing_template,Vex Armor Trim,500
ward_armor_trim_smithing_template,Ward Armor Trim,500
wayfinder_armor_trim_smithing_template,Wayfinder Armor Trim,500
wild_armor_trim_smithing_template,Wild Armor Trim,500
oak_sapling,Oak Sapling,20
wheat_seeds,Wheat Seeds,3
end_portal_frame,End Portal Frame,1250
enchanting_table,Enchanting Table,60
observer,Observer,30
tnt,TNT,100
experience_bottle,Bottle o' Enchanting,25
totem_of_undying,Totem of Undying,750
elytra,Elytra,2500
iron_golem_spawn_egg,Iron Golem Egg,1000
sea_lantern,Sea Lantern,60
sponge,Sponge,150
name_tag,Name Tag,100
saddle,Saddle,150
heart_of_the_sea,Heart of the Sea,1250
trident,Trident,1000
beacon,Beacon,4000
magma_cream,Magma Cream,45
nether_star,Nether Star,3000
